SVR,MLP,KNN,Decision Tree
1568.3400744999387,1849.6352935010457,1563.5611650531914,1705.0567797668245
758.2012310372482,853.6385837838565,748.5936212477509,849.256123463788
586.2218106844601,597.7597933861593,594.5686744362184,1458.7907820633488
56.290602986614324,81.50642554907729,45.27854541689932,618.5006626683899
64.39609305815969,77.58613273961781,61.84835513839567,1128.5117218948517
211.99446283319176,328.7154463479124,172.27369523439094,928.386882565059
64.9855234144219,68.66484609103081,57.97260700321411,1004.5099230539416
111.67447740277123,143.58726335218964,100.25239811043453,128.66198696541963
103.50711740088707,147.69722038072396,87.76206914525785,390.86154472127504
84.00914679941955,117.17687484115078,78.60716838026538,330.08591141150674
144.7097510234015,189.5983640973315,128.89582111957392,530.414683684278
111.46196345406963,161.1967973156639,98.58669513227606,712.018160299526
495.67896368459924,662.9314313797453,500.71371401564113,932.6557284324036
450.2713923204759,461.3499726592953,491.00717850505777,413.0342158516855
231.7575862323223,227.45194227117952,216.75713666538044,860.9386402551639
